tradeDate,M,SR,FG,CU,SN,NI,RM,AG,OI,CF,HC,J,I,TA,PB,AU,RB,V,JD,MA,TC,A,ZN,SF,P,C,BU,PP,JM,RU,AL,Y,CS,L
2015-03-27,2775.0,5242.0,946.0,43870.0,119230.0,101180.0,2236.0,3671.0,5872.0,13175.0,2490.0,937.0,419.0,4654.0,12435.0,243.6,2455.0,5615.0,3895.0,2402.0,435.2,4043.0,15975.0,4920.0,4716.0,2535.0,3140.0,8219.0,696.0,12810.0,13325.0,5446.0,3062.0,9600.0
2015-03-30,2768.0,5343.0,971.0,43620.0,117720.0,98390.0,2242.0,3637.0,5830.0,13220.0,2494.0,957.0,416.0,4564.0,12440.0,241.75,2469.0,5615.0,3909.0,2375.0,426.4,4005.0,15975.0,4920.0,4668.0,2529.0,3102.0,8182.0,696.0,12720.0,13315.0,5392.0,3069.0,9625.0
2015-03-31,2752.0,5364.0,966.0,43770.0,117790.0,95950.0,2230.0,3588.0,5826.0,13145.0,2484.0,943.0,404.0,4676.0,12395.0,239.0,2445.0,5750.0,3918.0,2403.0,423.2,4019.0,16040.0,4900.0,4660.0,2524.0,3106.0,8248.0,684.0,12635.0,13375.0,5372.0,3078.0,9730.0
2015-04-01,2789.0,5392.0,946.0,43380.0,118280.0,92870.0,2271.0,3573.0,5852.0,13045.0,2466.0,940.0,395.0,4698.0,12360.0,238.75,2406.0,5735.0,4555.0,2397.0,425.2,4034.0,15955.0,4900.0,4658.0,2521.0,3086.0,8300.0,683.0,12620.0,13370.0,5364.0,3010.0,9675.0
2015-04-02,2803.0,5415.0,932.0,43350.0,118540.0,94320.0,2271.0,3604.0,5856.0,13040.0,2426.0,940.0,384.0,4694.0,12470.0,241.55,2367.0,5805.0,4415.0,2449.0,421.2,4033.0,15990.0,4922.0,4656.0,2525.0,3198.0,8460.0,682.0,12765.0,13370.0,5386.0,3006.0,9860.0
2015-04-03,2784.0,5361.0,919.0,43330.0,118950.0,96530.0,2242.0,3584.0,5848.0,13010.0,2410.0,934.0,378.0,4702.0,12565.0,241.35,2353.0,5695.0,4348.0,2424.0,419.4,3995.0,16125.0,4922.0,4662.0,2516.0,3292.0,8275.0,678.0,12745.0,13365.0,5386.0,3004.0,9635.0
2015-04-07,2772.0,5362.0,927.0,43450.0,118630.0,96790.0,2238.0,3618.0,5880.0,12945.0,2394.0,933.0,385.0,4872.0,12665.0,243.75,2324.0,5800.0,4254.0,2433.0,417.2,3973.0,16195.0,4794.0,4738.0,2514.0,3358.0,8240.0,674.0,12885.0,13405.0,5444.0,2996.0,9570.0
2015-04-08,2761.0,5367.0,869.0,43580.0,118200.0,94450.0,2229.0,3613.0,5840.0,12965.0,2374.0,914.0,386.0,4980.0,12710.0,243.55,2308.0,5840.0,4258.0,2431.0,414.0,3956.0,16225.0,4666.0,4714.0,2510.0,3332.0,8354.0,671.0,12695.0,13390.0,5418.0,2977.0,9575.0
2015-04-09,2732.0,5411.0,873.0,43280.0,117190.0,94500.0,2198.0,3558.0,5826.0,13065.0,2370.0,910.0,382.0,5012.0,12760.0,241.75,2302.0,5730.0,4268.0,2406.0,412.0,4009.0,16170.0,4652.0,4674.0,2510.0,3284.0,8289.0,671.0,12375.0,13200.0,5378.0,2960.0,9450.0
2015-04-10,2697.0,5412.0,867.0,43380.0,115860.0,94080.0,2153.0,3488.0,5838.0,12960.0,2354.0,894.0,373.0,4988.0,13030.0,240.1,2280.0,5680.0,4331.0,2397.0,402.4,4010.0,16270.0,4502.0,4644.0,2517.0,3390.0,8320.0,662.0,12315.0,13230.0,5370.0,2979.0,9435.0
2015-04-13,2690.0,5496.0,881.0,43670.0,115750.0,94720.0,2139.0,3539.0,5864.0,12910.0,2378.0,905.0,379.0,4960.0,13365.0,242.8,2292.0,5670.0,4351.0,2409.0,402.2,4032.0,16395.0,4646.0,4664.0,2529.0,3412.0,8408.0,665.0,12595.0,13160.0,5428.0,3020.0,9460.0
2015-04-14,2690.0,5535.0,892.0,43160.0,113680.0,93740.0,2151.0,3514.0,5856.0,12970.0,2404.0,918.0,392.0,5064.0,13075.0,241.25,2321.0,5575.0,4398.0,2415.0,405.8,4069.0,16365.0,4854.0,4658.0,2509.0,3384.0,8355.0,672.0,12590.0,13050.0,5442.0,3010.0,9435.0
2015-04-15,2711.0,5539.0,899.0,42890.0,113530.0,93970.0,2174.0,3515.0,5914.0,12980.0,2398.0,907.0,392.0,5238.0,13100.0,240.25,2315.0,5565.0,4373.0,2425.0,401.8,4102.0,16375.0,4856.0,4700.0,2496.0,3390.0,8337.0,670.0,12710.0,13060.0,5526.0,2946.0,9390.0
2015-04-16,2705.0,5519.0,898.0,43140.0,112780.0,95090.0,2168.0,3531.0,5982.0,13035.0,2394.0,910.0,394.0,5298.0,13250.0,241.15,2312.0,5675.0,4380.0,2479.0,405.4,4099.0,16535.0,4844.0,4750.0,2486.0,3426.0,8580.0,672.0,12780.0,13120.0,5590.0,2943.0,9630.0
2015-04-17,2702.0,5583.0,884.0,43750.0,111110.0,95900.0,2170.0,3531.0,5958.0,13040.0,2400.0,913.0,395.0,5288.0,13560.0,240.8,2319.0,5635.0,4406.0,2535.0,406.0,4065.0,16635.0,4866.0,4750.0,2507.0,3424.0,8664.0,672.0,12775.0,13210.0,5578.0,2957.0,9690.0
2015-04-20,2714.0,5615.0,887.0,43800.0,111850.0,95910.0,2176.0,3530.0,5992.0,13030.0,2378.0,901.5,392.0,5332.0,13555.0,241.55,2297.0,5625.0,4460.0,2574.0,403.6,4005.0,16565.0,4868.0,4808.0,2506.0,3364.0,8741.0,657.0,12755.0,13125.0,5608.0,2952.0,9790.0
